credit.policy,purpose_clean2,int.rate,installment,log.annual.inc,annual_inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,Debt Consolidation,0.12,829.10,11.35,85000.00,19.48,737,5639.96,28854,52.10,0,0,0,0
1,Credit Card,0.11,228.22,11.08,65000.00,14.29,707,2760.00,33623,76.70,0,0,0,0
1,Debt Consolidation,0.14,366.86,10.37,32000.00,11.63,682,4710.00,3511,25.60,1,0,0,0
1,Debt Consolidation,0.10,162.34,11.35,85000.00,8.10,712,2699.96,33667,73.20,1,0,0,0
1,Credit Card,0.14,102.92,11.30,80800.00,14.97,667,4066.00,4740,39.50,0,1,0,0
1,Credit Card,0.08,125.13,11.90,148000.00,16.98,727,6120.04,50807,51.00,0,0,0,0
1,Debt Consolidation,0.15,194.02,10.71,45000.00,4.00,667,3180.04,3839,76.80,0,0,1,1
1,All Other,0.11,131.22,11.00,60000.00,11.08,722,5116.00,24220,68.60,0,0,0,1
1,Home Improvement,0.11,87.19,11.41,90000.00,17.25,682,3989.00,69909,51.10,1,0,0,0
1,Debt Consolidation,0.12,84.12,10.20,27000.00,10.00,707,2730.04,5630,23.00,1,0,0,0
1,Debt Consolidation,0.13,360.43,10.43,34000.00,22.09,677,6713.04,13846,71.00,2,0,1,0
1,Debt Consolidation,0.13,253.58,11.84,138000.00,9.16,662,4298.00,5122,18.20,2,1,0,0
1,Debt Consolidation,0.09,316.11,10.93,56000.00,15.49,767,6519.96,6068,16.70,0,0,0,0
1,Small Business,0.07,92.82,11.51,100000.00,6.50,747,4384.00,3021,4.80,0,1,0,0
1,Debt Consolidation,0.09,209.54,9.49,13200.00,9.73,727,1559.96,6282,44.60,0,0,0,0
1,Major Purchase,0.11,327.53,10.74,46116.00,13.04,702,8159.96,5394,53.40,1,0,0,0
1,All Other,0.13,77.69,10.52,37152.00,2.26,672,3895.96,2211,88.40,0,0,0,0
1,Credit Card,0.09,476.58,11.61,110000.00,7.07,797,6510.96,7586,52.70,1,0,0,0
1,Debt Consolidation,0.10,584.12,10.49,36000.00,3.80,712,2760.00,8311,59.80,0,0,0,0
1,Major Purchase,0.15,173.65,11.00,60000.00,2.74,667,1126.96,591,84.40,3,0,0,0
1,All Other,0.08,188.02,11.23,75000.00,16.08,772,4888.96,29797,23.20,1,0,0,0
1,All Other,0.09,474.42,10.82,50000.00,2.59,797,11951.00,5656,27.60,0,0,0,0
1,Credit Card,0.14,339.60,11.51,100000.00,7.94,662,1939.96,21162,57.70,0,0,0,0
1,Credit Card,0.08,484.85,11.74,125000.00,7.05,782,5640.04,16931,34.60,1,0,0,0
1,Debt Consolidation,0.12,320.19,11.26,78000.00,8.80,672,3760.96,4822,58.10,0,0,1,0
1,All Other,0.09,159.03,12.43,250000.00,10.00,712,1553.96,14354,36.60,0,2,0,0
1,All Other,0.07,155.38,11.08,65000.00,0.28,802,4649.96,1576,5.70,1,0,0,0
1,Debt Consolidation,0.14,255.43,10.00,22000.00,14.29,662,1318.96,4175,51.50,0,1,0,0
1,All Other,0.07,155.38,12.21,200000.00,0.28,772,4516.96,3164,13.70,0,0,0,0
1,All Other,0.07,155.38,12.21,200000.00,3.72,812,6778.96,85607,0.70,0,0,0,0
1,Debt Consolidation,0.08,156.84,11.51,100000.00,2.30,742,3148.96,9698,19.40,0,0,0,0
1,Credit Card,0.10,275.38,9.80,18000.00,6.40,692,7469.96,8847,26.90,1,1,0,0
1,Home Improvement,0.07,155.38,11.92,150000.00,0.00,777,7128.96,6053,19.50,0,0,0,0
1,Home Improvement,0.08,78.42,11.61,110000.00,11.33,762,6059.96,7274,13.10,0,0,0,0
1,Credit Card,0.09,158.30,11.23,75000.00,15.55,757,4770.00,66033,23.00,0,0,0,0
1,All Other,0.07,155.38,11.46,95000.00,3.83,772,2535.00,3660,6.80,0,0,0,0
1,Credit Card,0.07,155.38,11.35,85000.00,0.31,787,3540.00,216,0.60,0,0,0,0
1,Credit Card,0.11,164.23,11.29,80000.00,1.21,672,3990.00,27185,16.10,3,0,1,0
1,Debt Consolidation,0.10,161.25,10.78,48000.00,8.03,707,4320.00,28329,48.60,1,0,0,0
1,Home Improvement,0.09,159.77,12.10,180000.00,11.93,717,4498.96,60568,39.20,1,0,0,0
1,Home Improvement,0.08,156.84,12.10,180000.00,5.55,742,4019.00,40934,26.30,0,0,0,0
1,Debt Consolidation,0.07,155.38,11.70,120000.00,2.29,777,3540.00,8379,16.90,0,0,0,0
1,Small Business,0.09,94.98,10.13,25000.00,14.54,752,2460.00,3660,7.80,1,0,0,0
1,Home Improvement,0.10,97.20,12.21,200000.00,0.00,677,3779.96,0,0.00,0,1,0,0
1,Credit Card,0.11,164.23,10.31,30000.00,18.64,702,5190.00,15840,47.10,0,0,0,0
1,Credit Card,0.08,167.02,11.21,74000.00,14.37,797,5610.96,6844,14.40,0,0,0,0
1,Educational,0.08,168.60,8.99,8000.00,3.00,762,6659.96,1321,16.50,0,0,0,0
1,All Other,0.08,160.72,10.37,32000.00,14.78,772,4379.00,4737,23.90,0,0,0,0
1,Credit Card,0.09,159.03,11.20,73000.00,9.96,722,3089.96,23489,37.60,0,0,0,0
1,Debt Consolidation,0.07,178.69,11.74,125000.00,0.27,792,7488.96,2817,10.20,0,0,0,0
1,Credit Card,0.07,155.38,10.71,45000.00,1.12,782,5807.00,1783,0.00,1,0,0,0
1,Small Business,0.10,323.98,10.22,27376.00,10.70,712,1379.00,3534,54.40,0,0,0,0
1,Small Business,0.11,813.65,10.78,48000.00,4.05,762,2729.96,2422,23.30,0,0,0,0
1,Educational,0.10,112.87,9.51,13500.00,16.44,712,1649.96,2864,41.10,1,0,0,0
1,Debt Consolidation,0.16,94.88,10.86,52200.00,12.57,627,1409.00,3075,92.30,1,0,0,0
1,Small Business,0.11,398.69,11.00,60000.00,17.12,747,14008.96,17214,8.10,2,1,0,0
1,Credit Card,0.12,39.60,9.90,20000.00,2.04,662,1139.00,1153,75.80,2,0,0,0
1,Credit Card,0.13,678.08,11.88,145000.00,10.15,682,4209.96,41674,74.10,0,0,0,1
1,Credit Card,0.12,401.37,11.23,75000.00,15.00,682,4479.00,43039,93.40,3,0,0,0
1,All Other,0.10,205.45,11.00,60000.00,7.72,712,2293.96,3362,69.30,0,0,0,0
1,Debt Consolidation,0.12,397.75,11.08,65000.00,7.14,682,8730.00,11868,71.90,0,2,0,0
1,All Other,0.07,155.38,10.60,40000.00,2.55,772,8189.96,2562,14.00,2,0,0,0
1,All Other,0.10,113.39,9.90,20000.00,1.50,682,1410.00,1882,32.40,0,0,0,0
1,Debt Consolidation,0.12,99.44,10.50,36153.00,7.47,667,2550.00,1064,70.90,2,0,1,0
1,Credit Card,0.08,109.79,11.49,98000.00,8.52,752,4979.96,6432,6.00,0,1,0,0
